,q_year,request_status,fuel,NAME,state,geometry,$2022_poi_cost/kw,$2022_network_cost/kw,$2022_total_cost/kw,nameplate_mw,lat,lon
0,1997,Complete,Natural Gas,bergen,NJ,"POLYGON ((-74.25045799999999 41.060816, -74.21161764319859 41.1329813635363, -74.041054 41.059088, -73.893979 40.997197, -73.90728 40.951498, -73.9204715293793 40.91860633204101, -73.92203089786649 40.9147182134588, -73.93489258096069 40.8826489819421, -73.938081 40.874699, -73.9474845690832 40.8577734532874, -73.9658345170463 40.8247452595586, -73.968082 40.8207, -73.9712080182824 40.81631562632089, -73.98459249468019 40.79754332855229, -74.013784 40.756601, -74.0234915337322 40.7374531654873, -74.02563552954079 40.733224194662, -74.03092708568389 40.7227867504936, -74.04115624430349 40.7026100257088, -74.04696659183301 40.6911492802686, -74.047313 40.690466, -74.06772033031901 40.6703805942446, -74.07094353771529 40.66720823277559, -74.086806 40.651596, -74.16014678315319 40.6460765164448, -74.142516 40.667515, -74.051624 40.731125, -74.117057 40.710381, -74.117605 40.739638, -74.16598 40.748068, -74.14752900000001 40.786491, -74.13957499999999 40.805409, -74.130016 40.819938, -74.106786 40.859299, -74.13233700000001 40.92243, -74.141048 40.966348, -74.17114100000001 40.977066, -74.272226 41.017935, -74.25045799999999 41.060816), (-74.090644 40.748802, -74.078686 40.750601, -74.074799 40.758149, -74.06001999999999 40.762542, -74.053906 40.780949, -74.042344 40.780062, -74.033649 40.792387, -74.04124299999999 40.795634, -74.03367799999999 40.803264, -74.044923 40.807555, -74.058549 40.806277, -74.06903200000001 40.798349, -74.076753 40.795621, -74.07984999999999 40.789726, -74.090098 40.776883, -74.087979 40.76444, -74.09078700000001 40.761984, -74.090644 40.748802))",2.166653587,0.0,2.166653587,500.0,40.92395611887281,-74.0719698461587
1,1997,Complete,Natural Gas,union,NJ,"POLYGON ((-74.463291 40.599187, -74.424401 40.619545, -74.40352 40.654656, -74.404764 40.667606, -74.461035 40.673504, -74.44376200000001 40.688038, -74.380314 40.727561, -74.37173799999999 40.73964, -74.297212 40.715189, -74.28518699999999 40.722152, -74.209248 40.690709, -74.136703 40.674444, -74.142516 40.667515, -74.16014678315319 40.6460765164448, -74.17061099999999 40.645289, -74.20012290199109 40.63186890194569, -74.202247 40.630903, -74.203688 40.592691, -74.29098999999999 40.591925, -74.302921 40.608683, -74.358717 40.604061, -74.44171900000001 40.597085, -74.463291 40.599187))",11.62201538,1.291335042,12.91335042,120.0,40.658346468852024,-74.30673355564731
2,1997,Complete,Oil,accomack,VA,"POLYGON ((-75.941182 37.563839, -75.89866499999999 37.635425, -75.859262 37.703111, -75.812155 37.749502, -75.81812499999999 37.791698, -75.73587999999999 37.816561, -75.70291400000001 37.849659, -75.757694 37.903912, -75.66971100000001 37.950796, -75.624341 37.994211, -75.242266 38.027209, -75.338623 37.894986, -75.380638 37.851702, -75.439001 37.869335, -75.48927 37.832457, -75.55189799999999 37.748122, -75.591953 37.663178, -75.614527 37.609296, -75.60782399999999 37.560706, -75.672877 37.483696, -75.66541791087509 37.4672935154925, -75.713275 37.449876, -75.763912 37.463308, -75.77656399999999 37.454589, -75.812793 37.473895, -75.793521 37.488837, -75.80479699999999 37.514726, -75.78801199999999 37.528816, -75.83521399999999 37.554245, -75.90040999999999 37.557265, -75.9455743189307 37.5490406581517, -75.941182 37.563839))",8.704345929,0.0,8.704345929,315.0,37.767071606791944,-75.63234614927413
3,1998,Complete,Natural Gas,cecil,MD,"POLYGON ((-76.23327934711659 39.7216462556279, -76.13569742699019 39.7217675506067, -75.788596 39.722199, -75.76690460670919 39.3776515935512, -75.981506 39.36684, -76.06149882195569 39.3877481141151, -76.04096199999999 39.394237, -76.00688 39.414527, -76.01231199999999 39.453115, -76.0376462883158 39.4526423823093, -76.04197600000001 39.494228, -76.094472 39.56781, -76.212676 39.686405, -76.23327934711659 39.7216462556279))",6.485503838,39.33800278,45.82350661,465.0,39.56654282903454,-75.9462805630748
4,1998,Complete,Natural Gas,delaware,PA,"POLYGON ((-75.597596 39.874161, -75.404394 40.027434, -75.36106599999999 40.065543, -75.349457 40.052905, -75.311432 40.01981, -75.276482 39.976959, -75.23486800000001 39.937456, -75.262528 39.876561, -75.2111960614745 39.8665186316821, -75.221025 39.861113, -75.29337599999999 39.848782, -75.341765 39.846082, -75.41049247763709 39.8046722343221, -75.41506200000001 39.801919, -75.481207 39.829191, -75.57043299999999 39.839185, -75.5796477422344 39.8374141038914, -75.5925626443241 39.8349321082726, -75.5943169052201 39.8345949730913, -75.597596 39.874161))",0.247243453,3.327605997,3.574849449,521.0,39.91569836332675,-75.39991690824239
5,1998,Complete,Natural Gas,lackawanna,PA,"POLYGON ((-75.834695 41.427246, -75.77213399999999 41.505869, -75.719887 41.642263, -75.462411 41.641587, -75.440658 41.258125, -75.505607 41.232539, -75.543054 41.224051, -75.600736 41.161497, -75.636877 41.171447, -75.68724400000001 41.339216, -75.83263100000001 41.399934, -75.834695 41.427246))",18.93209462,0.0,18.93209462,46.0,41.43547950758148,-75.60418146070248
6,1999,Complete,Natural Gas,adams,PA,"POLYGON ((-77.471085 39.944077, -77.403606 39.994478, -77.17810799999999 40.036755, -77.13742499999999 40.069945, -77.018648 40.013947, -76.966202 39.935192, -76.954932 39.85685, -76.990663 39.834348, -76.99156000000001 39.833707, -76.993886 39.833022, -76.99729600000001 39.831586, -76.998583 39.831385, -76.9993180263332 39.7200676723526, -77.21702375523739 39.7202172483854, -77.23994999999999 39.720233, -77.45943341952389 39.72022917164499, -77.471085 39.944077))",14.09117109,7.137100272,21.22827136,830.0,39.87204983085216,-77.21604163867624
7,1999,Complete,Natural Gas,charles,MD,"POLYGON ((-77.246584 38.538341, -77.183767 38.600699, -77.12908400000001 38.614364, -77.1302 38.635017, -77.132501 38.673816, -77.08578476515639 38.7052812818324, -77.047656 38.616303, -77.011028 38.651975, -76.862955 38.658649, -76.74733500000001 38.616677, -76.740747 38.559141, -76.67545699999999 38.535876, -76.67411800000001 38.499622, -76.76828999999999 38.512949, -76.87146 38.389937, -76.82703612928189 38.2583001006141, -76.86429200000001 38.268945, -76.922177 38.311339, -76.975492 38.347327, -77.001638 38.421952, -77.01637100000001 38.445572, -77.075489 38.42471, -77.12332499999999 38.410646, -77.21118800000001 38.380662, -77.259962 38.435821, -77.246584 38.538341))",0.0,0.0,0.0,80.0,38.51092331497901,-76.98580666116092
8,1999,Complete,Natural Gas,luzerne,PA,"POLYGON ((-76.31013299999999 41.310199, -76.2831 41.376517, -76.02554499999999 41.383768, -75.988961 41.389357, -75.834695 41.427246, -75.83263100000001 41.399934, -75.68724400000001 41.339216, -75.636877 41.171447, -75.600736 41.161497, -75.649637 41.122344, -75.69465099999999 41.130658, -75.770196 41.050219, -75.73193000000001 41.00822, -75.98599400000001 40.917439, -75.997348 40.912985, -76.02815 40.901986, -76.20782699999999 40.94974, -76.22897500000001 41.138466, -76.27763899999999 41.131804, -76.319236 41.208092, -76.31013299999999 41.310199))",0.0,0.0,0.0,50.0,41.178216994691475,-75.98501490463924
9,1999,Complete,Natural Gas,middlesex,NJ,"POLYGON ((-74.62024 40.373749, -74.584987 40.418176, -74.489491 40.474452, -74.459863 40.491046, -74.523917 40.56967, -74.463291 40.599187, -74.44171900000001 40.597085, -74.358717 40.604061, -74.302921 40.608683, -74.29098999999999 40.591925, -74.203688 40.592691, -74.21683899999999 40.558618, -74.249211 40.545064, -74.260611 40.502436, -74.261889 40.464706, -74.22465246601469 40.4486624894865, -74.236332 40.443444, -74.29088299999999 40.372978, -74.327377 40.344599, -74.393384 40.279637, -74.484962 40.253325, -74.622462 40.3248, -74.62024 40.373749))",0.0,0.0,0.0,20.0,40.43629878563545,-74.41426990787589
