,q_year,q_status,cod_year,type_clean,mw1,region
0,2000.0,operational,2009.0,Gas,590.0,CAISO
1,2000.0,operational,2013.0,Gas,850.0,CAISO
2,2000.0,operational,2005.0,Gas,521.0,CAISO
3,2000.0,withdrawn,2003.0,Gas,900.0,CAISO
4,2000.0,withdrawn,2008.0,Gas,1156.0,CAISO
5,2000.0,operational,2013.0,Gas,570.0,CAISO
6,2000.0,withdrawn,2004.0,Gas,750.0,CAISO
7,2000.0,withdrawn,2008.0,Gas,1200.0,CAISO
8,2001.0,withdrawn,2009.0,Gas,620.0,CAISO
9,2002.0,withdrawn,2004.0,Wind,63.0,CAISO
10,2002.0,operational,2006.0,Wind,150.0,CAISO
11,2003.0,operational,2012.0,Hydro,40.0,CAISO
12,2003.0,operational,2009.0,Gas,65.0,CAISO
13,2003.0,withdrawn,2004.0,Wind,50.0,CAISO
14,2003.0,withdrawn,2006.0,Wind,56.0,CAISO
15,2003.0,withdrawn,2006.0,Solar,520.0,CAISO
16,2003.0,withdrawn,2005.0,Wind,200.0,CAISO
17,2003.0,operational,2005.0,Wind,46.0,CAISO
18,2003.0,operational,2018.0,Other,189.0,CAISO
19,2003.0,operational,2006.0,Wind,38.0,CAISO
20,2003.0,operational,2010.0,Wind,38.0,CAISO
21,2003.0,operational,2005.0,Gas,72.0,CAISO
22,2004.0,operational,2009.0,Wind,150.0,CAISO
23,2004.0,withdrawn,2005.0,Wind,117.0,CAISO
24,2004.0,withdrawn,2006.0,Wind,36.0,CAISO
25,2004.0,withdrawn,2010.0,Gas,650.0,CAISO
26,2004.0,withdrawn,2006.0,Gas,145.0,CAISO
27,2004.0,withdrawn,2006.0,Wind,201.0,CAISO
28,2004.0,withdrawn,2006.0,Gas,49.0,CAISO
29,2004.0,withdrawn,2007.0,Wind,201.0,CAISO
30,2004.0,active,2007.0,Wind,63.0,CAISO
31,2004.0,operational,2006.0,Geothermal,10.0,CAISO
32,2004.0,withdrawn,2007.0,Wind,300.0,CAISO
33,2004.0,withdrawn,2006.0,Gas,50.0,CAISO
34,2004.0,withdrawn,2006.0,Gas,100.0,CAISO
35,2004.0,withdrawn,2007.0,Gas,75.0,CAISO
36,2004.0,operational,2010.0,Gas,146.0,CAISO
37,2004.0,operational,2012.0,Wind,200.0,CAISO
38,2004.0,withdrawn,2007.0,Gas,118.0,CAISO
39,2004.0,withdrawn,2006.0,Gas,157.0,CAISO
40,2004.0,withdrawn,2007.0,Gas,300.0,CAISO
41,2004.0,withdrawn,2008.0,Gas,169.0,CAISO
42,2004.0,withdrawn,2008.0,Gas,127.0,CAISO
43,2004.0,operational,2013.0,Gas,354.0,CAISO
44,2004.0,withdrawn,2006.0,Gas,531.0,CAISO
45,2004.0,withdrawn,2008.0,Gas,201.0,CAISO
46,2004.0,withdrawn,2008.0,Gas,590.0,CAISO
47,2004.0,operational,2010.0,Gas,810.0,CAISO
48,2004.0,operational,2006.0,Gas,0.55,CAISO
49,2004.0,operational,2009.0,Gas,401.0,CAISO
50,2004.0,withdrawn,2008.0,Gas,117.0,CAISO
51,2005.0,operational,2009.0,Gas,120.0,CAISO
52,2005.0,withdrawn,2007.0,Gas,634.0,CAISO
53,2005.0,operational,2010.0,Gas,715.0,CAISO
54,2005.0,withdrawn,2007.0,Geothermal,62.0,CAISO
55,2005.0,withdrawn,2008.0,Gas,97.0,CAISO
56,2005.0,withdrawn,2007.0,Gas,94.0,CAISO
57,2005.0,operational,2007.0,Gas,73.0,CAISO
58,2005.0,withdrawn,2007.0,Gas,167.0,CAISO
59,2005.0,withdrawn,2008.0,Gas,158.0,CAISO
60,2005.0,withdrawn,2008.0,Gas,147.0,CAISO
61,2005.0,withdrawn,2007.0,Gas,425.0,CAISO
62,2005.0,operational,2013.0,Gas,501.0,CAISO
63,2005.0,operational,2013.0,Gas,245.0,CAISO
64,2005.0,withdrawn,2009.0,Solar,850.0,CAISO
65,2005.0,withdrawn,2008.0,Gas,527.0,CAISO
66,2005.0,operational,2009.0,Other,13.0,CAISO
67,2005.0,withdrawn,2007.0,Gas,591.0,CAISO
68,2005.0,active,2008.0,Other Storage,500.0,CAISO
69,2005.0,operational,2012.0,Wind,141.0,CAISO
70,2005.0,operational,2010.0,Wind,102.0,CAISO
71,2005.0,operational,2009.0,Other,11.0,CAISO
72,2005.0,operational,2009.0,Other,11.0,CAISO
73,2005.0,withdrawn,2007.0,Wind,300.0,CAISO
74,2005.0,withdrawn,2009.0,Solar,300.0,CAISO
75,2005.0,withdrawn,2008.0,Gas,610.0,CAISO
76,2005.0,operational,2007.0,Geothermal,55.0,CAISO
77,2005.0,withdrawn,2006.0,Other,6.8,CAISO
78,2005.0,withdrawn,2008.0,Wind,60.0,CAISO
79,2005.0,operational,2019.0,Solar,100.0,CAISO
80,2005.0,withdrawn,2007.0,Wind,120.0,CAISO
81,2006.0,withdrawn,2005.0,Nuclear,28.0,CAISO
82,2006.0,withdrawn,2011.0,Gas,614.0,CAISO
83,2006.0,withdrawn,2009.0,Gas,570.0,CAISO
84,2006.0,withdrawn,2007.0,Gas,93.0,CAISO
85,2006.0,withdrawn,2009.0,Gas,570.0,CAISO
86,2006.0,operational,2021.0,Wind,220.0,CAISO
87,2006.0,withdrawn,2011.0,Wind,180.0,CAISO
88,2006.0,operational,2012.0,Wind,550.0,CAISO
89,2006.0,operational,2011.0,Wind,600.0,CAISO
90,2006.0,withdrawn,2013.0,Wind,160.0,CAISO
91,2006.0,operational,2005.0,Nuclear,37.0,CAISO
92,2006.0,operational,2006.0,Gas,45.0,CAISO
93,2006.0,operational,2012.0,Wind,120.0,CAISO
94,2006.0,withdrawn,2008.0,Gas,100.0,CAISO
95,2006.0,withdrawn,2008.0,Wind,210.0,CAISO
96,2006.0,withdrawn,2008.0,Other,27.0,CAISO
97,2006.0,withdrawn,2009.0,Gas,304.0,CAISO
98,2006.0,withdrawn,2009.0,Wind,100.0,CAISO
99,2006.0,withdrawn,2009.0,Solar,635.0,CAISO
100,2006.0,withdrawn,2011.0,Wind,128.0,CAISO
101,2006.0,operational,2012.0,Wind,128.0,CAISO
102,2006.0,withdrawn,2011.0,Solar,550.0,CAISO
103,2006.0,withdrawn,2013.0,Solar,1400.0,CAISO
104,2006.0,withdrawn,2009.0,Other,16.0,CAISO
105,2006.0,withdrawn,2008.0,Wind,300.0,CAISO
106,2006.0,withdrawn,2009.0,Wind,30.0,CAISO
107,2006.0,withdrawn,2008.0,Wind,150.0,CAISO
108,2006.0,withdrawn,2008.0,Wind,150.0,CAISO
