,q_year,request_status,fuel,NAME,state,$2022_poi_cost/kw,$2022_network_cost/kw,$2022_total_cost/kw,nameplate_mw,lat,lon
0,1997,Complete,Natural Gas,bergen,NJ,2.166653587,0.0,2.166653587,500.0,40.92395611887281,-74.0719698461587
1,1997,Complete,Natural Gas,union,NJ,11.62201538,1.291335042,12.91335042,120.0,40.658346468852024,-74.30673355564731
2,1997,Complete,Oil,accomack,VA,8.704345929,0.0,8.704345929,315.0,37.767071606791944,-75.63234614927413
3,1998,Complete,Natural Gas,cecil,MD,6.485503838,39.33800278,45.82350661,465.0,39.56654282903454,-75.9462805630748
4,1998,Complete,Natural Gas,delaware,PA,0.247243453,3.327605997,3.574849449,521.0,39.91569836332675,-75.39991690824239
5,1998,Complete,Natural Gas,lackawanna,PA,18.93209462,0.0,18.93209462,46.0,41.43547950758148,-75.60418146070248
6,1999,Complete,Natural Gas,adams,PA,14.09117109,7.137100272,21.22827136,830.0,39.87204983085216,-77.21604163867624
7,1999,Complete,Natural Gas,charles,MD,0.0,0.0,0.0,80.0,38.51092331497901,-76.98580666116092
8,1999,Complete,Natural Gas,luzerne,PA,0.0,0.0,0.0,50.0,41.178216994691475,-75.98501490463924
9,1999,Complete,Natural Gas,middlesex,NJ,0.0,0.0,0.0,20.0,40.43629878563545,-74.41426990787589
10,1999,Complete,Natural Gas,northampton,PA,44.569320545,0.354170746,44.92349129,798.0,40.74935147248934,-75.3116381160293
11,1999,Complete,Natural Gas,ocean,NJ,3.31885067,11.18809414,14.50694481,500.0,39.88954489948138,-74.28089250817476
12,1999,Complete,Natural Gas,union,NJ,6.101324086,2.899517008,9.000841094,1186.0,40.658346468852024,-74.30673355564731
13,1999,Complete,Other,westmoreland,PA,23.62846778,11.10362422,34.732092,525.0,40.31243409475859,-79.46987424378885
14,2000,Complete,Natural Gas,kent,DE,22.16261151,0.0,22.16261151,100.0,39.086466238642544,-75.56884914275379
15,2001,Complete,Natural Gas,baltimore,MD,17.83554127,0.0,17.83554127,18.0,39.438692728945966,-76.62695327337231
16,2002,Complete,Natural Gas,gloucester,NJ,0.0,0.0,0.0,1.7,39.71581066715018,-75.13995546360321
17,2002,Complete,Wind Onshore,atlantic,NJ,19.19597227,0.0,19.19597227,7.5,39.47538692612786,-74.65848483266721
18,2002,Complete,Wind Onshore,grant,WV,0.0,1.099341446,1.099341446,300.0,39.103148168904724,-79.19440517992734
19,2003,Complete,Natural Gas,atlantic,NJ,312.8468746,0.0,312.8468746,1.5,39.47538692612786,-74.65848483266721
20,2003,Complete,Natural Gas,kane,IL,0.0,0.0,0.0,29.0,41.938391678730135,-88.42863984446511
21,2003,Complete,Oil,salem,NJ,0.0,0.0,0.0,8.0,39.587173035126,-75.34691254003255
22,2003,Complete,Wind Onshore,lycoming,PA,0.0,7.40217386,7.40217386,70.0,41.343105393182825,-77.06629983513213
23,2003,Complete,Wind Onshore,somerset,PA,0.0,78.12517420500001,78.12517420500001,69.4,39.971626711763534,-79.02670353570272
24,2003,Complete,Wind Onshore,stark,IL,2.680761385,17.20155222,19.88231361,150.0,41.09309772779619,-89.79745866449244
25,2004,Complete,Coal,scioto,OH,16.16070191,30.92058924,47.08129115,75.0,38.80270162829739,-82.98907344748547
26,2004,Complete,Natural Gas,baltimore,MD,115.6153321,0.0,115.6153321,9.0,39.438692728945966,-76.62695327337231
27,2004,Complete,Natural Gas,new castle,DE,0.0,0.0,0.0,4.0,39.57992633474786,-75.64054971710857
28,2004,Complete,Nuclear,beaver,PA,0.0,0.0,0.0,1652.0,40.68266485842424,-80.3497059785092
29,2004,Complete,Wind Onshore,luzerne,PA,29.090604,0.0,29.090604,26.0,41.178216994691475,-75.98501490463924
30,2005,Complete,Natural Gas,cumberland,NJ,0.223516651,0.0,0.223516651,225.0,39.37167068678935,-75.10660259284616
31,2005,Complete,Natural Gas,warren,NJ,118.9830909,0.0,118.9830909,3.6,40.85951348974019,-74.99556359608188
32,2005,Complete,Natural Gas,wicomico,MD,94.14968023,0.0,94.14968023,6.0,38.372878431402896,-75.6273851287114
33,2005,Complete,Oil,schuylkill,PA,81.56917219,0.0,81.56917219,8.0,40.70494736744855,-76.21477951152943
34,2005,Complete,Other,adams,IL,0.0,0.0,0.0,20.0,39.988042755776256,-91.18779389847695
35,2005,Complete,Wind Onshore,bureau,IL,2.786048803,13.95756806,16.74361686,74.0,41.40382413326133,-89.52829399293502
36,2005,Complete,Wind Onshore,cambria,PA,2.160128101,13.634055285,15.794183389,70.0,40.49418529767057,-78.71788306010968
37,2005,Complete,Wind Onshore,fayette,PA,6.104638624,23.56729752,29.67193614,50.4,39.91812936845464,-79.64393640227142
38,2005,Complete,Wind Onshore,lee,IL,0.0,10.082532736666666,10.082532736666666,457.0,41.74583951235151,-89.29977131720567
39,2005,Complete,Wind Onshore,livingston,IL,0.424130395,21.46665165,21.890782044999998,600.0,40.8919034282341,-88.55782233496889
40,2005,Complete,Wind Onshore,mercer,IL,10.739245,8.50567,19.244915,200.0,41.20596782170323,-90.74290052425185
41,2005,Complete,Wind Onshore,mineral,WV,0.0,6.656577123,6.656577123,85.0,39.41560861827627,-78.94104729491016
42,2005,Complete,Wind Onshore,schuylkill,PA,26.36420806,0.0,26.36420806,27.3,40.70494736744855,-76.21477951152943
43,2005,Complete,Wind Onshore,somerset,PA,0.0,30.44330158,30.44330158,65.0,39.971626711763534,-79.02670353570272
44,2005,Complete,Wind Onshore,woodford,IL,18.54219328,56.03579625,74.57798954,200.0,40.78584887311133,-89.20974397159135
45,2005,Complete,Wind Onshore,wyoming,PA,0.0,23.93309721,23.93309721,150.0,41.519526704624525,-76.01081401677567
46,2006,Complete,Biomass,berks,PA,0.074809631,20.57264858,20.64745821,30.0,40.415513885458935,-75.92318432832333
47,2006,Complete,Biomass,martin,NC,0.111783875,0.0,0.111783875,62.5,35.84326733727979,-77.10860251042143
48,2006,Complete,Biomass,sullivan,TN,0.0,0.0,0.0,50.0,36.51240690706997,-82.30412917180156
49,2006,Complete,Natural Gas,gloucester,NJ,7.831970154,0.0,7.831970154,650.0,39.71581066715018,-75.13995546360321
50,2006,Complete,Natural Gas,king george,VA,23.87158901,16.38502208,40.25661109,11.0,38.26817691335273,-77.15851654318722
51,2006,Complete,Natural Gas,lebanon,PA,44.68694875,0.0,44.68694875,3.2,40.365867392348854,-76.4547965847159
52,2006,Complete,Natural Gas,lee,IL,1.407639685,4.848999278,6.256638964,600.0,41.74583951235151,-89.29977131720567
53,2006,Complete,Natural Gas,stafford,VA,102.1246036,169.6638782,271.7884817,2.0,38.4179049295653,-77.45929294153574
54,2006,Complete,Wind Onshore,benton,IN,12.72391185,0.264657367,12.98856922,250.0,40.6062694659984,-87.31093999318061
55,2006,Complete,Wind Onshore,blair,PA,0.0,138.7383984,138.7383984,38.0,40.48217286770913,-78.3507606812789
56,2006,Complete,Wind Onshore,cambria,PA,3.589366105,5.306995238,8.896361343,75.0,40.49418529767057,-78.71788306010968
57,2006,Complete,Wind Onshore,centre,PA,0.0,98.28863396,98.28863396,50.0,40.92126000143399,-77.82249856108157
58,2006,Complete,Wind Onshore,jo daviess,IL,6.326972844,40.76407942,47.09105226,100.0,42.36542372892255,-90.21094404948981
59,2006,Complete,Wind Onshore,paulding,OH,0.0,43.47762069,43.47762069,150.0,41.116763412974734,-84.58010170486557
60,2006,Complete,Wind Onshore,schuylkill,PA,5.954530391,73.65690067,79.61143106,100.0,40.70494736744855,-76.21477951152943
61,2006,Complete,Wind Onshore,somerset,PA,0.0,379.071052765,379.071052765,54.3,39.971626711763534,-79.02670353570272
